Item,Qty,Reference(s),Value,Digikey,
1,21,"C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C14, C16, C17, C20, C21, C22, C25, C26, C28, C29, C30",0.1uF,,
2,1,C6,100uF,,
3,1,C12,CHROMA,2447-GKG30015-ND,
4,6,"C13, C15, C18, C19, C23, C24",22pF,,
5,2,"C27, C32",47nF,,
7,2,"C31, C35",10uF,,
9,1,C33,220uF,,
10,1,C34,0.33uF,,
11,1,C36,120pF,,
12,6,"D1, D2, D3, D5, D7, D8",1N4148,,
13,1,D4,POWER,Led D6mm,
14,1,D6,DATA,Led D3mm,
15,1,J1,Barrel_Jack,"5,5x2,1mm",
16,1,J2,EXPANSION,IDC40 90°,
17,1,J3,VIDEO,RCA PCB,
18,1,J4,EAR,SJ1-353XN,Bleu
19,1,J5,Speaker,,
20,1,J6,MIC,SJ1-353XN,Vert
25,1,M1,Stabilisateur ‘ ‘,6u ou 7u,
26,1,Q1,2N3904,,
27,15,"R1, R3, R6, R14, R15, R16, R18, R19, R20, R21, R22, R26, R27, R31, R32",10K,,
28,2,"R2, R34",100K,,
29,3,"R4, R9, R23",1M,,
30,4,"R5, R10, R25, R29",1K,,
31,2,"R7, R33",2K2,,
,1,R8,4K7,,
31,1,R12,220,,
32,2,"R11, R28",10,,
33,1,R13,75,,
34,1,R17,10M,,
35,1,R24,100K,,
36,1,R30,100,,
,1,R35,22K,,
37,1,RN1,10K x 8,SIP9,
38,1,RV2 ,10K,Pot plat 16x2,Réglage volume
39,2,"RV3, RV4",10K,3339P,
40,1,SW1,POWER,T8020L,
41,1,SW2,RESET,Tactile 9mm 90°,
42,58,SW3-SW60,,Cherry/Gateron,
43,1,U1,CDP1802ACE,,
44,1,U2,74HC574,,
45,2,"U3, U5",74HC74,,
46,1,U4,74HCU04,,
47,1,U6,74HC10,,
48,1,U7,74HC86,,
49,1,U8,74HC14,,
50,1,U9,CDP1871,,
51,1,U10,CDP1869,,
52,1,U11,74HC245,,
53,3,"U12, U13, U16",AS6C62256,,
54,1,U14,CDP1870,,
55,1,U15,28C256,,
56,1,U17,LM386,,
56,1,U18,LM358,,
57,1,Y1,17.738MHz,,
58,1,Y2,11.2896MHz,,
